index,confidence,start_time,end_time,text,speaker_index,speaker_name,annotations
0,0.97,6.74,12.278,"I'm Dan Strauss, Council President pro-tem of the counsel.",0,,
1,0.97,12.278,14.714,Councilmember Herbold?,1,,
2,0.97,14.714,14.948,Here.,2,,
3,0.97,14.948,17.15,Councilmember Lewis?,3,,
4,0.97,17.15,17.984,Present.,4,,
5,0.97,17.984,19.819,Councilmember Morales?,5,,
6,0.97,19.819,20.887,Here.,6,,
7,0.97,20.887,23.123,Councilmember Mosqueda?,7,,
8,0.97,23.123,24.491,Present.,8,,
9,0.97,24.491,28.194,Councilmember Nelson?,9,,
10,0.97,28.194,29.396,Present.,10,,
11,0.97,29.396,31.364,Councilmember Pedersen?,11,,
12,0.97,31.364,32.332,Present.,12,,
13,0.97,32.332,34.467,Council President pro-tem Strauss.,13,,
14,0.97,34.467,34.768,Present.,14,,
15,0.97,34.768,35.335,Eight present.,15,,
16,0.97,35.335,35.802,Thank you.,16,,
17,0.97,35.802,41.508,I would--my name wasn't called on the roll.,17,,
18,0.97,41.508,44.077,"Apologies, Councilmember Sawant?",18,,
19,0.97,44.077,44.377,Present.,19,,
20,0.97,44.377,45.979,Thank you.,19,,
21,0.97,45.979,46.846,Eight present.,20,,
22,0.97,46.846,53.119,"Wonderful, if there's no objection, Councilmember Juarez is excused from today's city council meeting.",21,,
23,0.97,53.119,58.658,"Hearing no objections, Councilmember Juarez is excused from today's city council meeting.",21,,
24,0.97,58.658,64.731,"Items a and B, moving on to item C, presentations.",21,,
25,0.97,64.731,65.498,There are no presentations today.,21,,
26,0.97,65.498,78.578,"Colleagues, at this time we will open the hybrid public comment period for this hybrid public comment period, the remote speakers will be heard first then followed by In-Person speakers attending in the Council chambers.",21,,
27,0.97,78.578,88.621,"Madame clerk, how many speakers are signed up today?",21,,
28,0.97,88.621,90.423,Approximately 25.,21,,
29,0.97,90.423,96.996,"With that, we are going to do one minute per Speaker to be able to move through this.",21,,
30,0.97,96.996,99.999,Today each Speaker will have one minute to speak.,21,,
31,0.97,99.999,104.804,"Madame clerk, I now hand this over to you to present the public comment instructions.",21,,
32,0.97,104.804,116.382,"Hello, Seattle, we are the Emerald city, the city of flowers, and the city of good will built on indigenous land the traditional territory of the Cosalish peoples.",22,,
33,0.97,116.382,120.954,The Seattle city council WELCOMES remote public comment and is eager to hear from residents of our city.,22,,
34,0.97,120.954,131.731,"If you would like to be a Speaker and provide a verbal public comment, you may register two hours prior to the meeting via the Seattle city council Website.",22,,
35,0.97,131.731,135.235,Here's some information about the pub Lek comment proceedings.,22,,
36,0.97,135.235,140.006,Speakers are could upon in the order in which they registered on the Council's Website.,22,,
37,0.97,140.006,150.55,Each Speaker must call in from the phone number provided when they registered Online and used the meeting Id and pass code that was Emailed upon confirmation.,22,,
38,0.97,150.55,158.024,"If you did not receive an Email confirmation, please check your Spam or junk mail folders.",22,,
39,0.97,158.024,167.267,"A reminder, the Speaker meeting Id is different from the general listen line meeting Id provided on the agenda.",22,,
40,0.97,167.267,179.012,"Once a Speaker's name is called, the Speaker's microphone will be Unmuted and an automatic prompt will say, the host would like you to Unmute your microphone.",22,,
41,0.97,179.012,181.514,That is your Cue that it's your turn to speak.,22,,
42,0.97,181.514,183.516,At that time you must press Star six.,22,,
43,0.97,183.516,186.819,You will then hear a prompt of you are Unmuted.,22,,
44,0.97,186.819,191.024,Be sure your phone is Unmuted on your end so that you will be heard.,22,,
45,0.97,191.024,196.362,"As a Speaker, you should begin by stating your name and the item that you are addressing.",22,,
46,0.97,196.362,205.104,A Chime will sound when ten seconds are left in your allotted time as a gentle reminder to wrap up your public comments.,22,,
47,0.97,205.104,214.48,"At the end of the allotted time, your microphone will be muted, and the next Speaker registered will be called.",22,,
48,0.97,214.48,227.694,"Once speakers have completed providing public comment, follow the heating via Seattle channel broadcast or the listening line option listed on the agenda.",22,,
49,0.97,227.694,240.506,The Council reserves the right to eliminate public comment if the system is being abused or if the process Impedes the Council's ability to conduct its business on behalf of residents of the city.,22,,
50,0.97,240.506,252.218,Any offensive languages that disruptive to these proceedings ORS that not focused on an appropriate topic as specified in Council rules may lead to the Speaker being muted by the Presiding officer.,22,,
51,0.97,252.218,261.728,Our hope is to provide an opportunity for productive discussions that will assist our orderly consideration of issues before the Council.,22,,
52,0.97,261.728,268.635,"The public comment period is now open, and we will begin with the first Speaker on the list.",22,,
53,0.97,268.635,280.58,Please remember to press Star six after you hear the prompt of you have been Unmuted.,22,,
54,0.97,280.58,280.947,"Thank you, Seattle.",22,,
55,0.97,281.281,308.608,"I'm sorry, have you called a name?",23,,
56,0.97,308.608,310.176,Howard Gail.,24,,
57,0.97,310.176,311.01,"Yeah, thank you.",25,,
58,0.97,311.01,315.748,"Good afternoon, Howard Gail with--Commenting on our lack of police accountability.",26,,
59,0.97,315.748,320.353,Six days ago a King County inquest jury spoke unambiguously.,26,,
60,0.97,320.353,333.132,"The Seattle police did precisely what they were trained to do under SPD policy when they shot Charleena Lyles, the pregnant mother of four, seven times in front of her children.",26,,
61,0.97,333.132,343.309,"The jury did not find the killing correct or justified, the jury found that the SPK Hd officers acted according to policy.",26,,
62,0.97,343.309,355.088,"After Charleena's murder, Council President Juarez and Councilmember Herbold promised us this would never happen again.",26,,
63,0.97,355.088,355.855,But it did.,26,,
